ResponseId,Age,Country,EdLevel,Employment,RemoteWork,DevType,YearsCodePro,OrgSize,ConvertedCompYearly,Currency,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,AISelect,AISent,AIBen
43162,25-34 years old,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, desktop or enterprise applications",8,100 to 499 employees,,NOK	Norwegian krone,C#;C++;HTML/CSS;TypeScript,Microsoft SQL Server,"No, and I don't plan to",,
86276,35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, desktop or enterprise applications",16,"1,000 to 4,999 employees",150000.0,USD	United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,Yes,Favorable,Somewhat trust
85768,25-34 years old,Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, full-stack",11,"10,000 or more employees",107090.0,EUR European Euro,C++,SQLite,"No, and I don't plan to",,
36064,35-44 years old,Hong Kong (S.A.R.),"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Developer, full-stack",3,100 to 499 employees,57401.0,HKD	Hong Kong dollar,Bash/Shell (all shells);C++;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL,Yes,Favorable,Somewhat trust
20665,25-34 years old,Nigeria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Developer, front-end",9,"1,000 to 4,999 employees",,NGN	Nigerian naira,HTML/CSS;JavaScript;PHP;Python;TypeScript,Firebase Realtime Database;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Yes,Very favorable,Somewhat trust
67138,55-64 years old,"Venezuela, Bolivarian Republic of...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Remote,"Developer, full-stack",37,"Just me - I am a freelancer, sole proprietor, etc.",,USD	United States dollar,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;SQL,Microsoft SQL Server;MySQL;SQLite,Yes,Favorable,Neither trust nor distrust
70297,35-44 years old,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time","Hybrid (some remote, some in-person)",,20,"10,000 or more employees",,AUD	Australian dollar,Java;Lua,Microsoft SQL Server,Yes,Favorable,Somewhat trust
67434,25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, desktop or enterprise applications",5,"1,000 to 4,999 employees",90000.0,USD	United States dollar,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Oracle;SQLite,"No, and I don't plan to",,
4780,35-44 years old,Canada,Some college/university study without earning a degree,"Employed, full-time",Remote,"Developer, back-end",15,100 to 499 employees,185879.0,CAD	Canadian dollar,Go;JavaScript;Python,BigQuery;PostgreSQL;Redis,Yes,Very favorable,Neither trust nor distrust
39494,25-34 years old,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, back-end",4,"5,000 to 9,999 employees",40212.0,EUR European Euro,C++;Go;Java;PHP;Python;SQL,MySQL;PostgreSQL;SQLite,"No, but I plan to soon",Unsure,Neither trust nor distrust
